Stock quote and option quote for PLTR on 4/4/25 14:50:11

UNDERLYING
LAST,LX,Net Chng,BID,BX,ASK,AX,Size,Volume,Open,High,Low
74.0099,D,-9.5901,73.99,Q,74.00,Q,2 x 2,"135,205,902",80.07,80.98,71.9303

UNDERLYING EXTRA INFO
Last Size,Yield,PE,Div,Div.Freq,Ex Div.Date,52High,52Low,Shares,Beta
"2,000",<empty>,389.5,<empty>,--,,125.41,20.33,"2,345,356,506",2.068

4 APR 25  (0)  100 (Weeklys)
,,Impl Vol,Prob.OTM,Prob.ITM,Delta,Volume,ROR,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,Impl Vol,Prob.OTM,Prob.ITM,Delta,Volume,ROR,,
,,87.44%,93.68%,6.32%,.09,973,<empty>,.57,S,.68,E,25 APR 25,100,26.00,P,27.60,P,101.77%,8.93%,91.07%,-.85,13,36.61%,,
,,83.08%,95.03%,4.97%,.07,64,<empty>,.31,X,.59,M,25 APR 25,101,25.30,Q,28.90,P,82.72%,4.91%,95.09%,-.90,5,36.67%,,
,,90.40%,94.25%,5.75%,.09,28,<empty>,.43,X,.75,E,25 APR 25,102,26.25,S,29.85,Z,83.53%,4.56%,95.44%,-.90,2,37.93%,,
,,87.44%,95.24%,4.76%,.07,14,<empty>,.41,E,.51,M,25 APR 25,103,27.25,Q,30.80,P,85.33%,4.41%,95.59%,-.90,1,39.24%,,
,,88.08%,95.58%,4.42%,.07,6,<empty>,.24,E,.62,E,25 APR 25,104,28.20,Q,31.75,S,--,0.00%,100.00%,-1.00,<empty>,40.49%,,
,,87.95%,96.01%,3.99%,.06,399,<empty>,.35,S,.42,M,25 APR 25,105,29.15,X,32.35,S,--,0.00%,100.00%,-1.00,2,41.41%,,
,,89.54%,96.15%,3.85%,.06,55,<empty>,.30,D,.46,M,25 APR 25,106,31.10,S,33.15,P,97.40%,5.01%,94.99%,-.89,<empty>,43.49%,,
,,96.45%,95.53%,4.47%,.07,4,<empty>,.15,E,.84,J,25 APR 25,107,32.00,P,33.90,I,--,0.00%,100.00%,-1.00,<empty>,44.50%,,
,,102.46%,95.06%,4.94%,.08,12,<empty>,.16,E,1.04,X,25 APR 25,108,33.00,P,34.85,P,--,0.00%,100.00%,-1.00,<empty>,45.80%,,
,,90.97%,96.94%,3.06%,.05,<empty>,<empty>,.13,E,.48,B,25 APR 25,109,34.00,S,35.65,P,--,0.00%,100.00%,-1.00,2,46.95%,,
,,89.69%,97.37%,2.63%,.04,140,<empty>,.20,D,.31,B,25 APR 25,110,34.95,X,37.35,Z,109.25%,5.12%,94.88%,-.88,8,48.95%,,
,,102.31%,96.12%,3.88%,.06,15,<empty>,.11,M,.82,B,25 APR 25,111,35.95,I,38.05,P,0.00%,0.00%,100.00%,-1.00,<empty>,50.00%,,
,,108.32%,95.68%,4.32%,.07,7,<empty>,.10,E,1.03,B,25 APR 25,112,36.95,P,39.00,P,--,0.00%,100.00%,-1.00,<empty>,51.30%,,
,,103.63%,96.54%,3.46%,.06,11,<empty>,.09,E,.75,S,25 APR 25,113,37.90,I,40.60,Z,120.69%,5.50%,94.50%,-.86,<empty>,53.22%,,
,,104.79%,96.67%,3.33%,.06,<empty>,<empty>,.09,E,.73,S,25 APR 25,114,38.85,P,41.00,P,--,0.00%,100.00%,-1.00,<empty>,53.90%,,
,,93.73%,98.04%,1.96%,.03,90,<empty>,.14,S,.26,N,25 APR 25,115,39.90,J,41.90,P,--,0.00%,100.00%,-1.00,5,55.20%,,
,,106.75%,96.95%,3.05%,.05,<empty>,<empty>,.07,E,.70,B,25 APR 25,116,41.00,S,43.00,Z,0.00%,0.00%,100.00%,-1.00,<empty>,56.76%,,
,,107.81%,97.07%,2.93%,.05,<empty>,<empty>,.07,E,.68,B,25 APR 25,117,41.95,Q,43.95,Z,--,0.00%,100.00%,-1.00,<empty>,58.00%,,
,,102.47%,97.78%,2.22%,.04,1,<empty>,.06,C,.46,B,25 APR 25,118,42.90,S,44.95,Z,--,0.00%,100.00%,-1.00,<empty>,59.30%,,
,,111.17%,97.16%,2.84%,.05,3,<empty>,.10,N,.66,B,25 APR 25,119,43.90,S,45.90,Z,--,0.00%,100.00%,-1.00,<empty>,60.59%,,
,,94.03%,98.76%,1.24%,.02,64,<empty>,.05,E,.20,Q,25 APR 25,120,44.90,Z,46.95,Z,--,0.00%,100.00%,-1.00,<empty>,62.00%,,
,,119.09%,96.82%,3.18%,.06,8,<empty>,.09,N,.86,J,25 APR 25,121,45.80,S,47.95,Z,--,0.00%,100.00%,-1.00,<empty>,63.24%,,
,,113.39%,97.53%,2.47%,.05,<empty>,<empty>,.05,E,.63,B,25 APR 25,122,46.80,Z,48.90,Z,--,0.00%,100.00%,-1.00,<empty>,64.53%,,
,,114.24%,97.63%,2.37%,.04,<empty>,<empty>,.04,B,.62,B,25 APR 25,123,47.85,Z,49.95,Z,--,0.00%,100.00%,-1.00,<empty>,65.99%,,
,,121.31%,97.20%,2.80%,.05,<empty>,<empty>,.04,E,.82,B,25 APR 25,124,48.80,Z,50.95,Z,--,0.00%,100.00%,-1.00,<empty>,67.28%,,
,,98.77%,98.98%,1.02%,.02,21,<empty>,.04,E,.18,Q,25 APR 25,125,49.80,Q,51.55,P,--,0.00%,100.00%,-1.00,<empty>,68.18%,,
,,114.52%,98.06%,1.94%,.04,<empty>,<empty>,.04,D,.50,S,25 APR 25,126,50.90,Q,52.60,P,--,0.00%,100.00%,-1.00,<empty>,69.70%,,
,,118.59%,97.89%,2.11%,.04,<empty>,<empty>,.03,S,.59,J,25 APR 25,127,51.00,Q,54.45,Z,--,0.00%,100.00%,-1.00,<empty>,70.99%,,
,,118.60%,98.03%,1.97%,.04,<empty>,<empty>,0,W,.58,B,25 APR 25,128,51.90,Z,55.15,Z,--,0.00%,100.00%,-1.00,<empty>,71.87%,,
,,120.95%,97.99%,2.01%,.04,<empty>,<empty>,.03,D,.58,B,25 APR 25,129,52.90,Z,56.50,Z,--,0.00%,100.00%,-1.00,<empty>,73.62%,,
,,99.77%,99.31%,0.69%,.01,46,<empty>,.03,D,.12,P,25 APR 25,130,54.00,Q,57.50,Q,--,0.00%,100.00%,-1.00,<empty>,75.08%,,
,,117.70%,98.44%,1.56%,.03,<empty>,<empty>,.01,B,.44,U,25 APR 25,131,55.00,Q,58.50,Q,--,0.00%,100.00%,-1.00,<empty>,76.43%,,
,,131.41%,97.64%,2.36%,.05,<empty>,<empty>,.02,B,.80,B,25 APR 25,132,55.90,Z,59.50,Z,--,0.00%,100.00%,-1.00,<empty>,77.66%,,
,,125.16%,98.19%,1.81%,.04,<empty>,<empty>,.02,B,.56,B,25 APR 25,133,57.00,Q,60.50,Q,--,0.00%,100.00%,-1.00,<empty>,79.12%,,
,,125.69%,98.26%,1.74%,.04,<empty>,<empty>,0,W,.56,B,25 APR 25,134,58.00,Q,61.50,Q,--,0.00%,100.00%,-1.00,<empty>,80.47%,,
,,103.56%,99.44%,0.56%,.01,<empty>,<empty>,.02,B,.11,E,25 APR 25,135,59.00,Q,62.50,Q,--,0.00%,100.00%,-1.00,<empty>,81.82%,,
,,128.19%,98.32%,1.68%,.03,<empty>,<empty>,0,W,.56,B,25 APR 25,136,60.00,Q,63.50,Q,--,0.00%,100.00%,-1.00,<empty>,83.16%,,
,,129.05%,98.37%,1.63%,.03,<empty>,<empty>,0,W,.55,B,25 APR 25,137,61.00,Q,64.50,Q,--,0.00%,100.00%,-1.00,<empty>,84.51%,,
,,130.26%,98.39%,1.61%,.03,<empty>,<empty>,0,W,.55,X,25 APR 25,138,62.00,Q,65.50,Q,--,0.00%,100.00%,-1.00,<empty>,85.86%,,
,,131.47%,98.42%,1.58%,.03,<empty>,<empty>,0,W,.55,B,25 APR 25,139,63.85,Q,65.85,Z,--,0.00%,100.00%,-1.00,<empty>,87.46%,,
,,132.65%,98.44%,1.56%,.03,<empty>,<empty>,0,Z,.55,Q,25 APR 25,140,64.85,Q,66.90,Z,--,0.00%,100.00%,-1.00,<empty>,88.87%,,
,,133.84%,98.46%,1.54%,.03,<empty>,<empty>,0,W,.55,B,25 APR 25,141,65.00,Q,68.50,Q,--,0.00%,100.00%,-1.00,<empty>,89.90%,,
,,135.02%,98.49%,1.51%,.03,<empty>,<empty>,0,W,.55,J,25 APR 25,142,66.00,Q,69.50,Q,--,0.00%,100.00%,-1.00,<empty>,91.25%,,
,,135.77%,98.53%,1.47%,.03,<empty>,<empty>,0,Z,.54,B,25 APR 25,143,67.00,Q,70.50,Q,--,0.00%,100.00%,-1.00,<empty>,92.59%,,
,,136.92%,98.55%,1.45%,.03,<empty>,<empty>,0,W,.54,Q,25 APR 25,144,68.80,Q,70.55,S,--,0.00%,100.00%,-1.00,<empty>,93.74%,,
,,138.06%,98.57%,1.43%,.03,<empty>,<empty>,0,W,.54,P,25 APR 25,145,69.80,Q,71.90,Q,--,0.00%,100.00%,-1.00,<empty>,95.55%,,
,,112.69%,99.58%,0.42%,.01,<empty>,<empty>,0,E,.11,E,25 APR 25,146,70.00,Q,73.45,Q,--,0.00%,100.00%,-1.00,<empty>,96.57%,,

2 MAY 25  (28)  100 (Weeklys)
,,Impl Vol,Prob.OTM,Prob.ITM,Delta,Volume,ROR,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,Impl Vol,Prob.OTM,Prob.ITM,Delta,Volume,ROR,,
,,168.09%,13.65%,86.35%,.94,<empty>,<empty>,34.05,P,36.35,X,2 MAY 25,40,.30,E,.44,A,132.32%,93.38%,6.62%,-.03,303,0.93%,,
,,141.78%,14.02%,85.98%,.93,3,<empty>,28.80,P,31.65,X,2 MAY 25,45,.43,X,.78,M,122.83%,90.36%,9.64%,-.05,52,1.36%,,
,,131.76%,18.37%,81.63%,.90,25,<empty>,25.00,J,26.45,J,2 MAY 25,50,.97,M,1.20,N,118.14%,85.20%,14.80%,-.09,398,2.22%,,
,,123.01%,23.86%,76.14%,.85,2,<empty>,20.70,E,22.15,X,2 MAY 25,55,1.59,E,2.35,E,117.25%,77.70%,22.30%,-.14,233,3.71%,,
,,115.49%,30.62%,69.38%,.80,22,<empty>,16.80,B,18.00,X,2 MAY 25,60,2.51,E,3.05,X,108.25%,71.26%,28.74%,-.19,816,4.86%,,
,,105.33%,37.81%,62.19%,.73,54,<empty>,13.15,X,13.80,E,2 MAY 25,65,4.10,M,4.35,B,104.91%,62.28%,37.72%,-.27,508,6.95%,,
,,109.47%,42.56%,57.44%,.69,26,<empty>,12.00,E,13.15,X,2 MAY 25,67,3.75,M,5.00,X,95.97%,60.02%,39.98%,-.30,154,6.99%,,
,,107.28%,44.13%,55.87%,.67,5,<empty>,11.10,M,12.60,X,2 MAY 25,68,4.35,X,5.95,X,100.93%,56.95%,43.05%,-.33,84,8.19%,,
,,105.92%,45.88%,54.12%,.65,3,<empty>,10.45,X,11.95,X,2 MAY 25,69,4.75,X,5.90,E,97.42%,55.46%,44.54%,-.34,109,8.36%,,
,,101.11%,47.18%,52.82%,.64,54,<empty>,10.05,M,10.55,X,2 MAY 25,70,5.85,M,6.15,Z,100.28%,52.94%,47.06%,-.36,789,9.38%,,
,,105.47%,49.70%,50.30%,.62,<empty>,<empty>,9.45,Q,10.80,X,2 MAY 25,71,6.15,X,6.55,P,98.62%,51.10%,48.90%,-.38,110,9.82%,,
,,105.68%,51.63%,48.37%,.60,5,<empty>,9.00,M,10.30,M,2 MAY 25,72,6.15,M,7.00,M,95.17%,49.41%,50.59%,-.40,127,10.05%,,
,,101.59%,53.19%,46.81%,.58,31,<empty>,8.50,N,9.20,M,2 MAY 25,73,6.40,M,7.55,M,93.74%,47.44%,52.56%,-.42,273,10.56%,,
,,96.42%,54.80%,45.20%,.56,57,<empty>,7.60,M,8.35,M,2 MAY 25,74,7.65,M,8.50,M,100.73%,44.94%,55.06%,-.44,577,12.25%,,
,,97.54%,56.83%,43.17%,.54,288,<empty>,7.30,M,7.95,M,2 MAY 25,75,8.15,B,8.55,E,97.24%,43.18%,56.82%,-.46,679,12.53%,,
,,95.03%,58.70%,41.30%,.52,66,<empty>,6.70,M,7.30,M,2 MAY 25,76,8.65,U,9.05,B,96.30%,41.28%,58.72%,-.48,94,13.18%,,
,,94.14%,60.62%,39.38%,.50,64,<empty>,6.20,C,6.85,M,2 MAY 25,77,8.80,X,9.50,E,92.68%,39.37%,60.63%,-.51,87,13.49%,,
,,91.17%,62.59%,37.41%,.47,85,<empty>,5.40,X,6.40,M,2 MAY 25,78,9.15,E,10.10,M,90.96%,37.40%,62.60%,-.53,"2,177",14.08%,,
,,92.88%,64.41%,35.59%,.46,94,<empty>,5.15,X,6.20,M,2 MAY 25,79,9.40,X,10.90,M,89.61%,35.43%,64.57%,-.55,126,14.74%,,
,,91.27%,66.32%,33.68%,.43,425,<empty>,4.95,X,5.45,M,2 MAY 25,80,10.50,E,11.40,Q,91.43%,33.69%,66.31%,-.57,"2,028",15.86%,,
,,90.67%,68.14%,31.86%,.41,41,<empty>,4.35,X,5.30,M,2 MAY 25,81,10.60,X,12.05,M,87.71%,31.59%,68.41%,-.59,84,16.25%,,
,,90.15%,69.92%,30.08%,.39,96,<empty>,4.30,X,4.65,B,2 MAY 25,82,11.25,E,12.45,M,85.57%,29.56%,70.44%,-.62,45,16.89%,,
,,86.16%,72.10%,27.90%,.36,29,<empty>,2.65,X,5.10,X,2 MAY 25,83,12.15,X,13.05,P,86.07%,27.89%,72.11%,-.64,110,17.90%,,
,,89.05%,73.34%,26.66%,.35,45,<empty>,3.60,X,4.05,M,2 MAY 25,84,12.60,X,13.95,B,85.37%,26.12%,73.88%,-.66,115,18.77%,,
,,87.82%,75.09%,24.91%,.33,652,<empty>,3.30,M,3.65,M,2 MAY 25,85,13.90,E,14.45,S,87.46%,24.86%,75.14%,-.67,290,20.01%,,
,,90.01%,76.23%,23.77%,.32,86,<empty>,2.99,X,3.80,A,2 MAY 25,86,14.00,E,15.35,E,83.87%,22.72%,77.28%,-.70,86,20.57%,,
,,86.43%,78.27%,21.73%,.29,82,<empty>,2.57,E,3.25,M,2 MAY 25,87,14.70,X,16.05,B,82.73%,21.02%,78.98%,-.72,64,21.47%,,
,,88.24%,79.31%,20.69%,.28,97,<empty>,2.10,E,3.55,E,2 MAY 25,88,15.50,X,17.35,M,86.53%,20.37%,79.63%,-.72,53,22.95%,,
,,86.67%,80.91%,19.09%,.26,89,<empty>,1.99,X,3.05,E,2 MAY 25,89,16.55,E,17.55,M,83.85%,18.51%,81.49%,-.75,33,23.70%,,
,,86.27%,82.23%,17.77%,.25,441,<empty>,2.20,N,2.42,M,2 MAY 25,90,17.30,E,18.35,M,83.15%,17.10%,82.90%,-.76,316,24.70%,,
,,87.08%,83.24%,16.76%,.23,81,<empty>,2.00,E,2.38,M,2 MAY 25,91,17.70,X,19.40,B,81.35%,15.50%,84.50%,-.78,35,25.60%,,
,,85.11%,84.78%,15.22%,.21,190,<empty>,1.64,E,2.18,M,2 MAY 25,92,18.60,X,20.00,B,79.61%,13.96%,86.04%,-.80,51,26.55%,,
,,90.06%,84.78%,15.22%,.22,52,<empty>,1.35,X,2.76,M,2 MAY 25,93,19.60,B,20.75,M,79.87%,12.96%,87.04%,-.82,92,27.70%,,
,,86.25%,86.57%,13.43%,.19,85,<empty>,1.15,E,2.23,M,2 MAY 25,94,20.20,E,21.85,M,79.47%,11.87%,88.13%,-.83,4,28.81%,,
,,88.96%,86.93%,13.07%,.19,345,<empty>,1.35,X,2.07,E,2 MAY 25,95,20.45,J,22.70,E,72.10%,9.12%,90.88%,-.87,85,29.38%,,
,,86.23%,88.39%,11.61%,.17,51,<empty>,1.23,E,1.65,M,2 MAY 25,96,21.85,B,23.30,B,74.45%,8.87%,91.13%,-.87,5,30.75%,,
,,83.79%,89.75%,10.25%,.15,34,<empty>,.97,E,1.45,M,2 MAY 25,97,23.00,X,24.20,M,77.40%,8.79%,91.21%,-.86,<empty>,32.15%,,
,,86.75%,89.88%,10.12%,.15,103,<empty>,1.07,Q,1.43,M,2 MAY 25,98,23.75,B,25.40,B,79.13%,8.45%,91.55%,-.87,10,33.47%,,
,,90.71%,89.80%,10.20%,.15,91,<empty>,.85,E,1.83,A,2 MAY 25,99,24.55,B,26.05,B,74.12%,6.63%,93.37%,-.89,<empty>,34.33%,,
,,83.14%,92.04%,7.96%,.12,"4,687",<empty>,.84,X,.98,T,2 MAY 25,100,26.40,S,27.60,B,93.41%,10.03%,89.97%,-.84,26,36.99%,,
,,86.89%,91.90%,8.10%,.12,51,<empty>,.69,X,1.28,M,2 MAY 25,101,25.55,S,29.00,P,78.03%,6.28%,93.72%,-.89,<empty>,37.00%,,
,,84.52%,92.97%,7.03%,.11,18,<empty>,.59,X,1.04,M,2 MAY 25,102,26.50,N,30.40,M,85.20%,7.17%,92.83%,-.87,<empty>,38.68%,,
,,85.00%,93.42%,6.58%,.10,29,<empty>,.55,X,.98,M,2 MAY 25,103,27.60,X,31.00,J,83.39%,6.27%,93.73%,-.88,20,39.76%,,
,,83.01%,94.30%,5.70%,.09,15,<empty>,.13,X,1.14,M,2 MAY 25,104,28.40,X,32.10,S,84.26%,5.94%,94.06%,-.88,<empty>,41.02%,,
,,83.15%,94.73%,5.27%,.08,297,<empty>,.51,E,.66,M,2 MAY 25,105,29.35,X,32.05,N,--,0.00%,100.00%,-1.00,4,41.32%,,
,,80.87%,95.55%,4.45%,.07,45,<empty>,.26,X,.68,M,2 MAY 25,106,30.30,S,33.85,P,83.59%,4.92%,95.08%,-.89,11,43.39%,,
,,89.92%,94.42%,5.58%,.09,1,<empty>,.29,X,1.10,M,2 MAY 25,107,31.30,Q,35.15,N,90.55%,5.68%,94.32%,-.88,2,45.04%,,
,,84.42%,95.72%,4.28%,.07,25,<empty>,.25,X,.71,A,2 MAY 25,108,32.60,X,34.70,J,--,0.00%,100.00%,-1.00,1,45.26%,,
,,85.80%,95.86%,4.14%,.07,8,<empty>,.35,E,.60,M,2 MAY 25,109,33.15,Q,36.35,S,--,0.00%,100.00%,-1.00,1,46.80%,,
,,88.64%,95.76%,4.24%,.07,125,<empty>,.35,Z,.67,M,2 MAY 25,110,34.30,X,38.00,N,95.45%,5.28%,94.72%,-.88,6,48.95%,,
,,94.12%,96.47%,3.53%,.06,143,<empty>,.27,N,.65,M,2 MAY 25,115,39.05,P,41.95,S,--,0.00%,100.00%,-1.00,3,54.36%,,
,,93.43%,97.64%,2.36%,.04,71,<empty>,.15,N,.45,B,2 MAY 25,120,44.20,Q,46.75,P,--,0.00%,100.00%,-1.00,<empty>,61.02%,,
,,89.28%,98.71%,1.29%,.02,67,<empty>,.10,E,.20,N,2 MAY 25,125,49.20,Q,51.85,P,--,0.00%,100.00%,-1.00,<empty>,67.84%,,
,,108.02%,97.84%,2.16%,.04,<empty>,<empty>,.04,X,.65,B,2 MAY 25,130,54.20,Q,56.65,P,--,0.00%,100.00%,-1.00,<empty>,74.32%,,
,,103.01%,98.74%,1.26%,.03,2,<empty>,.05,Z,.32,B,2 MAY 25,135,58.90,Z,62.50,Z,--,0.00%,100.00%,-1.00,<empty>,81.70%,,
,,98.70%,99.30%,0.70%,.01,<empty>,<empty>,.02,E,.17,Q,2 MAY 25,140,63.90,Z,67.50,Z,--,0.00%,100.00%,-1.00,<empty>,88.43%,,
,,97.68%,99.55%,0.45%,.01,6,<empty>,.01,M,.11,N,2 MAY 25,145,68.90,Z,72.50,Z,--,0.00%,100.00%,-1.00,<empty>,95.15%,,

9 MAY 25  (35)  100 (Weeklys)
,,Impl Vol,Prob.OTM,Prob.ITM,Delta,Volume,ROR,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,Impl Vol,Prob.OTM,Prob.ITM,Delta,Volume,ROR,,
,,140.08%,17.36%,82.64%,.92,<empty>,<empty>,29.05,X,32.35,X,9 MAY 25,45,.91,E,1.41,S,129.84%,85.24%,14.76%,-.07,"1,002",2.65%,,
,,130.90%,21.91%,78.09%,.88,1,<empty>,24.60,B,28.05,S,9 MAY 25,50,.80,E,2.14,T,115.99%,82.23%,17.77%,-.10,264,3.03%,,
,,115.91%,25.48%,74.52%,.85,<empty>,<empty>,20.75,B,22.80,S,9 MAY 25,55,2.25,E,3.15,Z,118.83%,73.71%,26.29%,-.16,116,5.16%,,
,,121.09%,35.07%,64.93%,.78,5,<empty>,17.00,B,20.25,S,9 MAY 25,60,2.48,J,5.20,E,113.30%,66.81%,33.19%,-.22,687,6.84%,,
,,117.00%,42.51%,57.49%,.71,22,<empty>,13.75,B,16.80,X,9 MAY 25,65,4.10,J,6.00,P,104.84%,59.89%,40.11%,-.28,711,8.42%,,
,,111.57%,49.98%,50.02%,.64,35,<empty>,11.00,B,13.30,X,9 MAY 25,70,6.10,N,7.90,Q,101.64%,51.31%,48.69%,-.36,463,11.11%,,
,,104.53%,54.24%,45.76%,.59,<empty>,<empty>,8.45,M,11.75,B,9 MAY 25,73,7.10,M,9.65,B,99.83%,46.15%,53.85%,-.42,62,12.96%,,
,,101.17%,55.68%,44.32%,.57,15,<empty>,8.55,J,10.15,P,9 MAY 25,74,7.90,B,10.85,B,104.88%,44.07%,55.93%,-.43,52,14.51%,,
,,111.74%,57.90%,42.10%,.56,215,<empty>,9.05,B,10.70,J,9 MAY 25,75,9.70,B,11.00,P,109.41%,42.22%,57.78%,-.44,229,16.01%,,
,,108.02%,59.25%,40.75%,.54,31,<empty>,7.70,M,10.55,X,9 MAY 25,76,8.85,E,11.60,P,101.61%,40.97%,59.03%,-.47,89,15.55%,,
,,104.72%,60.69%,39.31%,.52,43,<empty>,7.05,J,9.80,X,9 MAY 25,77,9.40,B,11.80,B,99.18%,39.40%,60.60%,-.49,18,15.96%,,
,,105.91%,62.22%,37.78%,.51,98,<empty>,6.90,B,9.40,J,9 MAY 25,78,11.00,B,12.50,P,105.08%,37.78%,62.22%,-.49,37,17.74%,,
,,106.38%,63.69%,36.31%,.49,229,<empty>,6.55,J,9.10,J,9 MAY 25,79,10.55,M,13.30,P,100.11%,36.24%,63.76%,-.52,17,17.78%,,
,,108.35%,65.07%,34.93%,.48,137,<empty>,6.45,B,8.85,J,9 MAY 25,80,11.75,B,13.80,P,102.39%,34.80%,65.20%,-.53,303,19.00%,,
,,105.51%,66.52%,33.48%,.46,32,<empty>,6.40,N,7.70,E,9 MAY 25,81,11.30,B,13.80,P,92.61%,32.87%,67.13%,-.56,16,18.33%,,
,,101.10%,68.11%,31.89%,.44,78,<empty>,4.80,X,7.85,J,9 MAY 25,82,12.70,B,14.60,P,97.34%,31.67%,68.33%,-.57,28,19.97%,,
,,99.82%,69.56%,30.44%,.42,40,<empty>,4.60,B,7.20,M,9 MAY 25,83,12.70,B,15.85,P,96.63%,30.20%,69.80%,-.59,20,20.77%,,
,,103.15%,70.64%,29.36%,.41,69,<empty>,4.65,J,7.15,J,9 MAY 25,84,13.15,B,16.35,B,94.04%,28.57%,71.43%,-.61,10,21.30%,,
,,102.99%,71.92%,28.08%,.40,401,<empty>,4.80,H,6.40,J,9 MAY 25,85,14.50,B,16.80,B,96.13%,27.43%,72.57%,-.62,83,22.57%,,
,,98.67%,73.58%,26.42%,.37,74,<empty>,3.55,B,6.35,J,9 MAY 25,86,14.50,B,18.00,S,94.62%,25.96%,74.04%,-.64,17,23.30%,,
,,98.46%,74.83%,25.17%,.36,26,<empty>,3.25,X,6.10,J,9 MAY 25,87,15.20,B,18.90,B,95.28%,24.78%,75.22%,-.65,2,24.37%,,
,,97.80%,76.09%,23.91%,.34,52,<empty>,2.90,E,5.85,J,9 MAY 25,88,15.90,B,19.15,B,91.88%,23.08%,76.92%,-.67,7,24.87%,,
,,96.56%,77.41%,22.59%,.33,22,<empty>,2.63,J,5.45,J,9 MAY 25,89,16.90,B,20.30,B,95.63%,22.46%,77.54%,-.68,4,26.42%,,
,,97.85%,78.33%,21.67%,.32,212,<empty>,3.65,Q,4.20,P,9 MAY 25,90,17.35,B,20.80,B,91.81%,20.74%,79.26%,-.70,59,26.89%,,
,,104.15%,78.50%,21.50%,.32,13,<empty>,3.50,D,4.95,M,9 MAY 25,91,18.40,B,21.75,P,94.48%,20.09%,79.91%,-.71,<empty>,28.30%,,
,,94.45%,80.95%,19.05%,.28,12,<empty>,2.20,N,4.30,M,9 MAY 25,92,19.10,S,22.55,S,93.82%,18.95%,81.05%,-.72,12,29.26%,,
,,97.08%,81.49%,18.51%,.28,39,<empty>,1.78,X,4.75,J,9 MAY 25,93,19.65,B,23.65,B,94.01%,17.99%,82.01%,-.73,10,30.34%,,
,,92.05%,83.32%,16.68%,.25,208,<empty>,1.58,J,3.85,J,9 MAY 25,94,20.45,B,24.55,B,94.44%,17.12%,82.88%,-.74,3,31.47%,,
,,97.15%,83.31%,16.69%,.25,65,<empty>,2.49,S,3.35,J,9 MAY 25,95,21.25,B,25.10,P,92.25%,15.81%,84.19%,-.76,14,32.27%,,
,,93.92%,84.75%,15.25%,.23,25,<empty>,1.51,J,3.55,J,9 MAY 25,96,22.45,B,25.85,S,94.24%,15.31%,84.69%,-.76,1,33.61%,,
,,85.30%,87.30%,12.70%,.19,36,<empty>,.68,J,2.96,P,9 MAY 25,97,22.90,B,26.90,S,92.83%,14.22%,85.78%,-.78,13,34.54%,,
,,95.16%,86.13%,13.87%,.21,1,<empty>,.30,J,4.35,E,9 MAY 25,98,23.75,B,27.65,S,91.97%,13.27%,86.73%,-.79,24,35.55%,,
,,98.40%,86.29%,13.71%,.22,11,<empty>,2.01,Q,2.80,M,9 MAY 25,99,24.60,B,28.50,P,91.77%,12.48%,87.52%,-.80,1,36.65%,,
,,95.18%,87.58%,12.42%,.19,290,<empty>,1.90,P,2.23,S,9 MAY 25,100,25.50,B,29.45,S,92.71%,11.95%,88.05%,-.81,7,37.88%,,
,,95.75%,88.16%,11.84%,.19,<empty>,<empty>,.51,J,3.45,E,9 MAY 25,101,26.35,S,30.10,P,90.55%,10.86%,89.14%,-.82,<empty>,38.78%,,
,,102.43%,87.63%,12.37%,.20,41,<empty>,1.57,N,2.99,E,9 MAY 25,102,27.25,B,31.10,B,91.76%,10.45%,89.55%,-.82,<empty>,40.06%,,
,,98.85%,88.86%,11.14%,.18,27,<empty>,.48,J,3.40,E,9 MAY 25,103,28.15,B,31.65,S,88.68%,9.24%,90.76%,-.84,1,40.90%,,
,,95.23%,90.10%,9.90%,.16,17,<empty>,1.46,J,1.79,B,9 MAY 25,104,29.05,S,32.75,S,90.75%,9.07%,90.93%,-.84,<empty>,42.27%,,
,,97.43%,90.26%,9.74%,.16,23,<empty>,1.00,B,2.30,J,9 MAY 25,105,30.25,B,33.65,P,93.79%,9.09%,90.91%,-.84,3,43.74%,,
,,92.98%,93.40%,6.60%,.11,58,<empty>,.95,Q,1.10,Q,9 MAY 25,110,34.60,Q,38.40,N,94.65%,6.88%,93.12%,-.86,2,49.66%,,
,,96.29%,94.67%,5.33%,.09,35,<empty>,.75,Z,.98,M,9 MAY 25,115,39.35,Q,43.15,I,99.22%,5.77%,94.23%,-.86,<empty>,55.93%,,
,,98.13%,95.81%,4.19%,.08,30,<empty>,.55,N,.84,Q,9 MAY 25,120,44.20,Q,47.80,Z,0.00%,0.00%,100.00%,-1.00,1,62.16%,,
,,93.62%,97.37%,2.63%,.05,202,<empty>,.10,E,.70,P,9 MAY 25,125,49.05,Q,52.75,Z,--,0.00%,100.00%,-1.00,<empty>,68.69%,,
,,108.21%,96.68%,3.32%,.07,1,<empty>,.15,E,1.13,E,9 MAY 25,130,54.00,Z,57.60,Z,--,0.00%,100.00%,-1.00,<empty>,75.20%,,
,,108.85%,97.38%,2.62%,.05,3,<empty>,.14,E,.88,E,9 MAY 25,135,58.95,Q,62.55,Z,--,0.00%,100.00%,-1.00,<empty>,81.82%,,
