index,sentence,context,regex_matches,fuzzy_matches,semantic_matches,cluster_label,match_category
10157,"I  am,  thing  Sing  Larynx,  letter  potent  to 
play  the  sem  backwards  like  Oscan  wild  or  in  shunt  Persse  <mark>trans</mark>- 
luding  from  the  Otherman  or  oiff  the  Toptic  or  anything  off  the 
types  of  my  finklers  in  the  draught  or  with  buttles,  with  my  oyes 
thickshut  and  all.","Look 
at  that  for  a  ridingpin! I  am,  thing  Sing  Larynx,  letter  potent  to 
play  the  sem  backwards  like  Oscan  wild  or  in  shunt  Persse  trans- 
luding  from  the  Otherman  or  oiff  the  Toptic  or  anything  off  the 
types  of  my  finklers  in  the  draught  or  with  buttles,  with  my  oyes 
thickshut  and  all. But,  hellas,  it  is  harrobrew  bad  on  the  corns  and 
callouses.",trans,,,2,general
10361,I,422 I t,,changing sex(100); gender reassignment(100); hermaphrodite(100); intersex(100); cross dressing(100); mannish(100); boy-girl(100); two-spirit(100); ambiguous gender(100); switching roles(100); wearing the other's clothes(100); gender identity(100),,9,"physical, role"
10362,t,I t I,,transsexual(100); gender reassignment(100); hermaphrodite(100); intersex(100); both sexes(100); two-spirit(100); switching roles(100); wearing the other's clothes(100); gender identity(100),,3,"physical, role"
10363,I,"t I jameymock  farceson  in  Shemish  like  a  mouther  of  the  incas  with 
a  garcielasso  huw  Ananymus  pinched  her  tights  and  about  the 
Bait  with  the  markshaire  parawag  and  his  loyal  divorces,  when  he  ""z.",,changing sex(100); gender reassignment(100); hermaphrodite(100); intersex(100); cross dressing(100); mannish(100); boy-girl(100); two-spirit(100); ambiguous gender(100); switching roles(100); wearing the other's clothes(100); gender identity(100),,4,"physical, role"
10454,a,424 a 5^,,sex change(100); changing sex(100); change of sex(100); transsexual(100); gender reassignment(100); become a woman(100); become a man(100); born a woman(100); born a man(100); hermaphrodite(100); manhood(100); womanhood(100); dressed as a man(100); dressed as a woman(100); ladyman(100); mannish(100); woman-man(100); man-woman(100); androgyny(100); androgynous(100); ambiguous gender(100); wearing the other's clothes(100),,7,"physical, role"
10456,n,5^ n 94,,sex change(100); changing sex(100); change of sex(100); transsexual(100); gender reassignment(100); become a woman(100); become a man(100); born a woman(100); born a man(100); intersex(100); manhood(100); womanhood(100); cross dressing(100); dressed as a man(100); dressed as a woman(100); ladyman(100); mannish(100); woman-man(100); man-woman(100); androgyny(100); androgynous(100); genderless(100); ambiguous gender(100); switching roles(100); wearing the other's clothes(100); gender identity(100),,7,"physical, role"
10472,"with  the 
allergrossest  transfusiasm  as,  you  see,  while  I  can  soroquise  the 
Siamanish  better  than  most,  it  is  an  openear  secret,  be  it  said, 
how  I  am  extremely  ingenuous  at  the  clerking  even  with  my 
badily  left  and,  arrah  go  braz,  I'd  pinsel  it  with  immenuensoes 
as  easy  as  I'd  perorate  a  chickerow  of  beans  for  the  price  of  two 
maricles  and  my  trifolium  librotto,  the  authordux  Book  of  Lief, 
would,  if  given  to  daylight,  (I  hold  a  most  incredible  faith  about 
it)  far  exceed  what  that  bogus  bolshy  of  a  shame,  my  soamheis 
brother,  Gaoy  Fecks,  is  conversant  with  in  audible  black  and 
prink.","any  time 
ever  I  liked  (bet  ye  fippence  off  me  boot  allowance!) with  the 
allergrossest  transfusiasm  as,  you  see,  while  I  can  soroquise  the 
Siamanish  better  than  most,  it  is  an  openear  secret,  be  it  said, 
how  I  am  extremely  ingenuous  at  the  clerking  even  with  my 
badily  left  and,  arrah  go  braz,  I'd  pinsel  it  with  immenuensoes 
as  easy  as  I'd  perorate  a  chickerow  of  beans  for  the  price  of  two 
maricles  and  my  trifolium  librotto,  the  authordux  Book  of  Lief, 
would,  if  given  to  daylight,  (I  hold  a  most  incredible  faith  about 
it)  far  exceed  what  that  bogus  bolshy  of  a  shame,  my  soamheis 
brother,  Gaoy  Fecks,  is  conversant  with  in  audible  black  and 
prink. Outragedy  of  poetscalds!",,mannish(86),,2,role
10525,"And  Slyly  mamoumeen's  ladymaid  at  Glads- 
house  Lodge.","Mery  Loye 
is  saling  moonlike. And  Slyly  mamoumeen's  ladymaid  at  Glads- 
house  Lodge. Turn  your  coat,  strong  character,  and  tarry  among 
us  down  the  vale,  yougander,  only  once  more!",,ladyman(86),,2,role
10535,i,428 i I.,,changing sex(100); gender reassignment(100); hermaphrodite(100); intersex(100); cross dressing(100); mannish(100); boy-girl(100); two-spirit(100); ambiguous gender(100); switching roles(100); wearing the other's clothes(100); gender identity(100),,2,"physical, role"
10551,"and  feeling  his  full  fat  pouch  for  him  so  tactily  and  jingaling 
his  jellybags  for,  though  he  looked  a  young  chapplie  of  sixtine, 
they  could  frole  by  his  <mark>manhood</mark>  that  he  was  just  the  killingest 
ladykiller  all  by  kindness,  now  you,  Jaun,  asking  kindlily  (hillo, 
missies!)","which  was  angelic  simply,  savouring 
of  wild  thyme  and  parsley  jumbled  with  breadcrumbs  (O  nice!) and  feeling  his  full  fat  pouch  for  him  so  tactily  and  jingaling 
his  jellybags  for,  though  he  looked  a  young  chapplie  of  sixtine, 
they  could  frole  by  his  manhood  that  he  was  just  the  killingest 
ladykiller  all  by  kindness,  now  you,  Jaun,  asking  kindlily  (hillo, 
missies!) after  their  howareyous  at  all  with  those  of  their  dolly- 
begs  (and  where's  Agatha's  lamb?",manhood,,,2,general
10590,I,432 I I,,changing sex(100); gender reassignment(100); hermaphrodite(100); intersex(100); cross dressing(100); mannish(100); boy-girl(100); two-spirit(100); ambiguous gender(100); switching roles(100); wearing the other's clothes(100); gender identity(100),,10,"physical, role"
10591,I,I I _,,changing sex(100); gender reassignment(100); hermaphrodite(100); intersex(100); cross dressing(100); mannish(100); boy-girl(100); two-spirit(100); ambiguous gender(100); switching roles(100); wearing the other's clothes(100); gender identity(100),,6,"physical, role"
10593,I,_ I I,,changing sex(100); gender reassignment(100); hermaphrodite(100); intersex(100); cross dressing(100); mannish(100); boy-girl(100); two-spirit(100); ambiguous gender(100); switching roles(100); wearing the other's clothes(100); gender identity(100),,7,"physical, role"
10594,I,"I I mon  for  ignitiousPurpalume  to  the  proper  of  Francisco  Ultramare, 
last  of  scorchers,  third  of  snows,  in  terrorgammons  howdydos.",,changing sex(100); gender reassignment(100); hermaphrodite(100); intersex(100); cross dressing(100); mannish(100); boy-girl(100); two-spirit(100); ambiguous gender(100); switching roles(100); wearing the other's clothes(100); gender identity(100),,5,"physical, role"
10655,i,"434 i known  to  all  the  dallytaunties  in  and  near  the  ciudad  of  Buellas 
Arias,  taking  you  to  the  playguehouse  to  see  the  Smirching  of 
Venus  and  asking  with  whispered  offers  in  a  very  low  bearded 
voice,  with  a  nice  little  tiny  manner  and  in  a  very  nice  little  tony 
way,  won't  you  be  an  artist's  moral  and  pose  in  your  nudies  as  a 
local  esthetic  before  voluble  old  masters,  introducing  you,  left 
to  right  the  party  comprises,  to  hogarths  like  Bottisilly  and 
Titteretto  and  Vergognese  and  Coraggio  with  their  extrahand 
Mazzaccio,  plus  the  usual  bilker's  dozen  of  dowdycameramen.",,changing sex(100); gender reassignment(100); hermaphrodite(100); intersex(100); cross dressing(100); mannish(100); boy-girl(100); two-spirit(100); ambiguous gender(100); switching roles(100); wearing the other's clothes(100); gender identity(100),,6,"physical, role"
10712,I,436 I 1,,changing sex(100); gender reassignment(100); hermaphrodite(100); intersex(100); cross dressing(100); mannish(100); boy-girl(100); two-spirit(100); ambiguous gender(100); switching roles(100); wearing the other's clothes(100); gender identity(100),,5,"physical, role"
10748,I,438 I i,,changing sex(100); gender reassignment(100); hermaphrodite(100); intersex(100); cross dressing(100); mannish(100); boy-girl(100); two-spirit(100); ambiguous gender(100); switching roles(100); wearing the other's clothes(100); gender identity(100),,6,"physical, role"
10749,i,"I i and  otherwise,  messing  around  skirts  and  what  their  fickling  in- 
tentions look  like,  you  make  up  your  mind  to  that)  trespassing 
on  your  danger  zone  in  the  dancer  years.",,changing sex(100); gender reassignment(100); hermaphrodite(100); intersex(100); cross dressing(100); mannish(100); boy-girl(100); two-spirit(100); ambiguous gender(100); switching roles(100); wearing the other's clothes(100); gender identity(100),,3,"physical, role"
10796,i,440 i t,,changing sex(100); gender reassignment(100); hermaphrodite(100); intersex(100); cross dressing(100); mannish(100); boy-girl(100); two-spirit(100); ambiguous gender(100); switching roles(100); wearing the other's clothes(100); gender identity(100),,5,"physical, role"
10797,t,i t I,,transsexual(100); gender reassignment(100); hermaphrodite(100); intersex(100); both sexes(100); two-spirit(100); switching roles(100); wearing the other's clothes(100); gender identity(100),,3,"physical, role"
10798,I,t I likes.,,changing sex(100); gender reassignment(100); hermaphrodite(100); intersex(100); cross dressing(100); mannish(100); boy-girl(100); two-spirit(100); ambiguous gender(100); switching roles(100); wearing the other's clothes(100); gender identity(100),,8,"physical, role"
10851,i,442 i behaitch  like  solitar.,,changing sex(100); gender reassignment(100); hermaphrodite(100); intersex(100); cross dressing(100); mannish(100); boy-girl(100); two-spirit(100); ambiguous gender(100); switching roles(100); wearing the other's clothes(100); gender identity(100),,1,"physical, role"
10891,f,444 f 4,,change of sex(100),,3,physical
10896,I,"1 
I  i I striped  conference  here's  how.",,changing sex(100); gender reassignment(100); hermaphrodite(100); intersex(100); cross dressing(100); mannish(100); boy-girl(100); two-spirit(100); ambiguous gender(100); switching roles(100); wearing the other's clothes(100); gender identity(100),,5,"physical, role"
10948,t,"446 t cals  and  be  instrumental  to  utensilise,  help  our  Jakeline  sisters 
clean  out  the  hogshole  and  generally  ginger  things  up.",,transsexual(100); gender reassignment(100); hermaphrodite(100); intersex(100); both sexes(100); two-spirit(100); switching roles(100); wearing the other's clothes(100); gender identity(100),,3,"physical, role"
11030,I,450 I i,,changing sex(100); gender reassignment(100); hermaphrodite(100); intersex(100); cross dressing(100); mannish(100); boy-girl(100); two-spirit(100); ambiguous gender(100); switching roles(100); wearing the other's clothes(100); gender identity(100),,5,"physical, role"
11031,i,I i I,,changing sex(100); gender reassignment(100); hermaphrodite(100); intersex(100); cross dressing(100); mannish(100); boy-girl(100); two-spirit(100); ambiguous gender(100); switching roles(100); wearing the other's clothes(100); gender identity(100),,9,"physical, role"
11032,I,i I I,,changing sex(100); gender reassignment(100); hermaphrodite(100); intersex(100); cross dressing(100); mannish(100); boy-girl(100); two-spirit(100); ambiguous gender(100); switching roles(100); wearing the other's clothes(100); gender identity(100),,5,"physical, role"
11033,I,"I I dolly  farting,  in  vestments  of  subdominal  poteen  at  prime  cost 
and  I  bait  you  my  chancey  oldcoat  against  the  whole  ounce  you 
half  on  your  backboard  (if  madamaud  strips  mesdamines  may 
cold  strafe  illglandsl)  that  I'm  the  gogetter  that'd  make  it  pay  like 
cash  registers  as  sure  as  there's  a  pot  on  a  pole.",,changing sex(100); gender reassignment(100); hermaphrodite(100); intersex(100); cross dressing(100); mannish(100); boy-girl(100); two-spirit(100); ambiguous gender(100); switching roles(100); wearing the other's clothes(100); gender identity(100),,7,"physical, role"
11074,I,452 I I,,changing sex(100); gender reassignment(100); hermaphrodite(100); intersex(100); cross dressing(100); mannish(100); boy-girl(100); two-spirit(100); ambiguous gender(100); switching roles(100); wearing the other's clothes(100); gender identity(100),,8,"physical, role"
11075,I,"I I of  our,  alas,  those  times  are  not  so  far  off  as  you  might  wish  to 
be  congealed.",,changing sex(100); gender reassignment(100); hermaphrodite(100); intersex(100); cross dressing(100); mannish(100); boy-girl(100); two-spirit(100); ambiguous gender(100); switching roles(100); wearing the other's clothes(100); gender identity(100),,1,"physical, role"
11206,I,456 I i,,changing sex(100); gender reassignment(100); hermaphrodite(100); intersex(100); cross dressing(100); mannish(100); boy-girl(100); two-spirit(100); ambiguous gender(100); switching roles(100); wearing the other's clothes(100); gender identity(100),,0,"physical, role"
11207,i,I i II,,changing sex(100); gender reassignment(100); hermaphrodite(100); intersex(100); cross dressing(100); mannish(100); boy-girl(100); two-spirit(100); ambiguous gender(100); switching roles(100); wearing the other's clothes(100); gender identity(100),,5,"physical, role"
11266,I,"458 I as  far  as  come  back  under  all  my  eyes  like  my  sapphire  chap- 
lets  of  ringarosary  I  will  say  for  you  to  the  Allmichael  and 
solve  qui  pu  while  the  dovedoves  pick  my  mouthbuds  (msch!",,changing sex(100); gender reassignment(100); hermaphrodite(100); intersex(100); cross dressing(100); mannish(100); boy-girl(100); two-spirit(100); ambiguous gender(100); switching roles(100); wearing the other's clothes(100); gender identity(100),,6,"physical, role"
11287,"I  felt  for 
his  strength,  his  <mark><mark>manhood</mark></mark>,  his  do  you  mind.","He  fell  for  my  lips,  for  my  lisp,  for  my  lewd  speaker. I  felt  for 
his  strength,  his  manhood,  his  do  you  mind. '^  There  can  be  no 
candle  to  hold  to  it,  can  there .",manhood,manhood(100),,3,"general, physical"
11370,I,"462 I blushing  like  Pat's  pig,  begob!",,changing sex(100); gender reassignment(100); hermaphrodite(100); intersex(100); cross dressing(100); mannish(100); boy-girl(100); two-spirit(100); ambiguous gender(100); switching roles(100); wearing the other's clothes(100); gender identity(100),,11,"physical, role"
11436,I,464 I I,,changing sex(100); gender reassignment(100); hermaphrodite(100); intersex(100); cross dressing(100); mannish(100); boy-girl(100); two-spirit(100); ambiguous gender(100); switching roles(100); wearing the other's clothes(100); gender identity(100),,6,"physical, role"
11437,I,I I I,,changing sex(100); gender reassignment(100); hermaphrodite(100); intersex(100); cross dressing(100); mannish(100); boy-girl(100); two-spirit(100); ambiguous gender(100); switching roles(100); wearing the other's clothes(100); gender identity(100),,6,"physical, role"
11438,I,I I L,,changing sex(100); gender reassignment(100); hermaphrodite(100); intersex(100); cross dressing(100); mannish(100); boy-girl(100); two-spirit(100); ambiguous gender(100); switching roles(100); wearing the other's clothes(100); gender identity(100),,0,"physical, role"
11439,L,I L You've  surpassed  yourself!,,transsexual(100); ladyman(100); boy-girl(100); genderless(100); sexless(100); switching roles(100); wearing the other's clothes(100),,3,"physical, role"
11541,The,But  he  could  be  near  a  colonel  with  a  voice  like  that. The 466,,wearing the other's clothes(100),,3,role
11543,I,466 I bark  is  still  there  but  the  molars  are  gone.,,changing sex(100); gender reassignment(100); hermaphrodite(100); intersex(100); cross dressing(100); mannish(100); boy-girl(100); two-spirit(100); ambiguous gender(100); switching roles(100); wearing the other's clothes(100); gender identity(100),,0,"physical, role"
11751,I,"Numerous  are  those  who,  nay,  there  are  a  dozen  of  folks  still 
unclaimed  by  the  death  angel  in  this  country  of  ours  today, 
humble  indivisibles  in  this  grand  continuum,  overlorded  by  fate 
and  interlarded  with  accidence,  who,  while  there  are  hours  and 
days,  will  fervently  pray  to  the  spirit  above  that  they  may  never 
depart  this  earth  of  theirs  till  in  his  long  run  from  that  place 
where  the  day  begins,  ere  he  retourneys  postexilic,  on  that  day 
that  belongs  to  joyful  Ireland,  the  people  that  is  of  all  time,  the 
old  old  oldest,  the  young  young  youngest,  after  decades  of I longsuffering  and  decennia  of  brief  glory,  to  mind  us  of  what 
was  when  and  to  matter  us  of  the  withering  of  our  ways,  their 
Janyouare  Fibyouare  wins  true  from  Sylvester  (only  Walker 
himself  is  like  Waltzer,  whimsicalissimo  they  go  murmurand) 
comes  marching  ahome  on  the  summer  crust  of  the  flagway.",,changing sex(100); gender reassignment(100); hermaphrodite(100); intersex(100); cross dressing(100); mannish(100); boy-girl(100); two-spirit(100); ambiguous gender(100); switching roles(100); wearing the other's clothes(100); gender identity(100),,1,"physical, role"
11784,i,474 i sweat  of  night  blues  moist  upon  them.,,changing sex(100); gender reassignment(100); hermaphrodite(100); intersex(100); cross dressing(100); mannish(100); boy-girl(100); two-spirit(100); ambiguous gender(100); switching roles(100); wearing the other's clothes(100); gender identity(100),,1,"physical, role"
12131,I,il I I,,changing sex(100); gender reassignment(100); hermaphrodite(100); intersex(100); cross dressing(100); mannish(100); boy-girl(100); two-spirit(100); ambiguous gender(100); switching roles(100); wearing the other's clothes(100); gender identity(100),,5,"physical, role"
12132,I,I I I,,changing sex(100); gender reassignment(100); hermaphrodite(100); intersex(100); cross dressing(100); mannish(100); boy-girl(100); two-spirit(100); ambiguous gender(100); switching roles(100); wearing the other's clothes(100); gender identity(100),,8,"physical, role"
12133,I,I I ing  effects  and  affects  occasionally  recausing  altereffects.,,changing sex(100); gender reassignment(100); hermaphrodite(100); intersex(100); cross dressing(100); mannish(100); boy-girl(100); two-spirit(100); ambiguous gender(100); switching roles(100); wearing the other's clothes(100); gender identity(100),,8,"physical, role"
12184,p,"484 p Sagart  can  self  laud  nilobstant  to  Lowman  Catlick's  patrician 
morning  coat  of  arms  with  my  High  tripenniferry  cresta  and 
caudal  mottams:",,hermaphrodite(100); two-spirit(100),,3,"physical, role"
12290,I,486 I 1,,changing sex(100); gender reassignment(100); hermaphrodite(100); intersex(100); cross dressing(100); mannish(100); boy-girl(100); two-spirit(100); ambiguous gender(100); switching roles(100); wearing the other's clothes(100); gender identity(100),,0,"physical, role"
12353,p,"488 p Yet  be  there  some  who  mourn  him,  concluding  him  dead, 
and  more  there  be  that  wait  astand.",,hermaphrodite(100); two-spirit(100),,7,"physical, role"
12519,i,"492 i took  a  brief  one  in  his  shirtsails  out  of  the  alleged  given  mineral, 
telling  me  see  his  in  Foraignghistan  sambat  papers  Sunday  feac- 
tures  of  a  welcomed  aperrytiff  with  vallad  of  Erill  Pearcey  O 
he  never  battered  one  eagle's  before  paying  me  his  duty  on  my 
annaversary  to  the  parroteyes  list  in  my  nil  ensemble,  in  his  lazy- 
chair  but  he  hidded  up  my  hemifaces  in  all  my  mayarannies  and 
he  locked  plum  into  my  mirrymouth  like  Ysamasy  morning  in 
the  end  of  time,  with  the  so  light's  hope  on  his  ruddycheeks  and 
rawjaws  and,  my  charmer,  whom  I  dipped  my  hand  in,  he  simply 
showed  me  his  propendiculous  loadpoker,  Seaserpents  hisses 
sissastones,  which  was  as  then  is  produced  in  his  mansway  by 
this  wisest  of  the  Vikramadityationists,  with  the  remere  remind 
remure  remark,  in  his  gulughurutty:",,changing sex(100); gender reassignment(100); hermaphrodite(100); intersex(100); cross dressing(100); mannish(100); boy-girl(100); two-spirit(100); ambiguous gender(100); switching roles(100); wearing the other's clothes(100); gender identity(100),,6,"physical, role"
12591,I,494 I I,,changing sex(100); gender reassignment(100); hermaphrodite(100); intersex(100); cross dressing(100); mannish(100); boy-girl(100); two-spirit(100); ambiguous gender(100); switching roles(100); wearing the other's clothes(100); gender identity(100),,6,"physical, role"
12592,I,I I i,,changing sex(100); gender reassignment(100); hermaphrodite(100); intersex(100); cross dressing(100); mannish(100); boy-girl(100); two-spirit(100); ambiguous gender(100); switching roles(100); wearing the other's clothes(100); gender identity(100),,9,"physical, role"
12593,i,I i plais.,,changing sex(100); gender reassignment(100); hermaphrodite(100); intersex(100); cross dressing(100); mannish(100); boy-girl(100); two-spirit(100); ambiguous gender(100); switching roles(100); wearing the other's clothes(100); gender identity(100),,8,"physical, role"
12657,I,■ I Quinnigans  Quake!,,changing sex(100); gender reassignment(100); hermaphrodite(100); intersex(100); cross dressing(100); mannish(100); boy-girl(100); two-spirit(100); ambiguous gender(100); switching roles(100); wearing the other's clothes(100); gender identity(100),,9,"physical, role"
12676,I,"V I embalsemate,  pending  a  rouseruction  of  his  bogey,  most  highly 
astounded,  as  it  turned  up,  after  his  life  overlasting,  at  thus  being 
reduced  to  nothing.",,changing sex(100); gender reassignment(100); hermaphrodite(100); intersex(100); cross dressing(100); mannish(100); boy-girl(100); two-spirit(100); ambiguous gender(100); switching roles(100); wearing the other's clothes(100); gender identity(100),,6,"physical, role"
13016,I,502 I zon  cloth!,,changing sex(100); gender reassignment(100); hermaphrodite(100); intersex(100); cross dressing(100); mannish(100); boy-girl(100); two-spirit(100); ambiguous gender(100); switching roles(100); wearing the other's clothes(100); gender identity(100),,6,"physical, role"
13232,I,"507 I and  the  Arch  after  his  teeth  were  shaken  out  of  their  suckets  by  the 
wrang  dog,  for  having  5  pints  73  of  none  Eryen  blood  in  him  abaft 
the  seam  level,  the  scatterling,  wearing  his  cowbeamer  and  false 
clothes  of  a  brewer's  grains  pattern  with  back  buckons  with  his 
motto  on,  Yule  Remember^  ostensibly  for  that  occasion  only  of  the 
twelfth  day  Pax  and  Quantum  wedding,  Tm  wondering.",,changing sex(100); gender reassignment(100); hermaphrodite(100); intersex(100); cross dressing(100); mannish(100); boy-girl(100); two-spirit(100); ambiguous gender(100); switching roles(100); wearing the other's clothes(100); gender identity(100),,6,"physical, role"
13279,i,! i i,,changing sex(100); gender reassignment(100); hermaphrodite(100); intersex(100); cross dressing(100); mannish(100); boy-girl(100); two-spirit(100); ambiguous gender(100); switching roles(100); wearing the other's clothes(100); gender identity(100),,1,"physical, role"
13280,i,i i I,,changing sex(100); gender reassignment(100); hermaphrodite(100); intersex(100); cross dressing(100); mannish(100); boy-girl(100); two-spirit(100); ambiguous gender(100); switching roles(100); wearing the other's clothes(100); gender identity(100),,3,"physical, role"
13281,I,i I i,,changing sex(100); gender reassignment(100); hermaphrodite(100); intersex(100); cross dressing(100); mannish(100); boy-girl(100); two-spirit(100); ambiguous gender(100); switching roles(100); wearing the other's clothes(100); gender identity(100),,10,"physical, role"
13282,i,I i —,,changing sex(100); gender reassignment(100); hermaphrodite(100); intersex(100); cross dressing(100); mannish(100); boy-girl(100); two-spirit(100); ambiguous gender(100); switching roles(100); wearing the other's clothes(100); gender identity(100),,7,"physical, role"
13369,i,510 i I,,changing sex(100); gender reassignment(100); hermaphrodite(100); intersex(100); cross dressing(100); mannish(100); boy-girl(100); two-spirit(100); ambiguous gender(100); switching roles(100); wearing the other's clothes(100); gender identity(100),,0,"physical, role"
13370,I,i I ►,,changing sex(100); gender reassignment(100); hermaphrodite(100); intersex(100); cross dressing(100); mannish(100); boy-girl(100); two-spirit(100); ambiguous gender(100); switching roles(100); wearing the other's clothes(100); gender identity(100),,6,"physical, role"
13451,"So  lent  she 
him  ear  to  burrow  his  <mark><mark>manhood</mark></mark>  (or  so  it  appierce)  and  borrow 
his  namas?","And  Malkos 
crackles  logs  of  fun  while  Anglys  cheers  our  ingles. So  lent  she 
him  ear  to  burrow  his  manhood  (or  so  it  appierce)  and  borrow 
his  namas? Suilful  eyes  and  sallowfoul  hairweed  and  the  sickly 
sigh  from  her  gingering  mouth  like  a  Dublin  bar  in  the  moarning.",manhood,manhood(100),,2,"general, physical"
13467,I,Nascitur  ordo  seculi  numfit. I i,,changing sex(100); gender reassignment(100); hermaphrodite(100); intersex(100); cross dressing(100); mannish(100); boy-girl(100); two-spirit(100); ambiguous gender(100); switching roles(100); wearing the other's clothes(100); gender identity(100),,9,"physical, role"
13468,i,I i I,,changing sex(100); gender reassignment(100); hermaphrodite(100); intersex(100); cross dressing(100); mannish(100); boy-girl(100); two-spirit(100); ambiguous gender(100); switching roles(100); wearing the other's clothes(100); gender identity(100),,10,"physical, role"
13469,I,i I —,,changing sex(100); gender reassignment(100); hermaphrodite(100); intersex(100); cross dressing(100); mannish(100); boy-girl(100); two-spirit(100); ambiguous gender(100); switching roles(100); wearing the other's clothes(100); gender identity(100),,9,"physical, role"
13575,r,5M r that  erestationed.,,transsexual(100); gender reassignment(100); born a woman(100); born a man(100); hermaphrodite(100); intersex(100); cross-dress(100); cross dressing(100); dressed as a man(100); dressed as a woman(100); boy-girl(100); two-spirit(100); androgyny(100); androgynous(100); genderless(100); ambiguous gender(100); switching roles(100); wearing the other's clothes(100); gender identity(100),,11,"physical, role"
13646,I,1' I —,,changing sex(100); gender reassignment(100); hermaphrodite(100); intersex(100); cross dressing(100); mannish(100); boy-girl(100); two-spirit(100); ambiguous gender(100); switching roles(100); wearing the other's clothes(100); gender identity(100),,3,"physical, role"
13793,He,"It  was  told  me  as  an  inspired  statement  by  a 
friend  of  myself,  in  reply  to  salute,  Tarpey,  after  three  o'clock 
mass,  with  forty  ducks  indulgent,  that  some  rain  was  promised 
to  Mrs  Lyons,  the  invalid  of  Aunt  Tarty  Villa,  with  lots  gulp 
and  sousers  and  likewise  he  told  me,  the  recusant,  after  telling 
mass,  with  two  hundred  genuflexions,  at  the  split  hour  of 
blight  when  bars  are  keeping  so  sly,  as  was  what's  follows. He 519",,hermaphrodite(100); she-he(100); wearing the other's clothes(100),,4,"physical, role"
13950,i,"524 i is  how  the  reverend  Coppinger,  he  visualises  the  hidebound 
homelies  of  creed  crux  ethics.",,changing sex(100); gender reassignment(100); hermaphrodite(100); intersex(100); cross dressing(100); mannish(100); boy-girl(100); two-spirit(100); ambiguous gender(100); switching roles(100); wearing the other's clothes(100); gender identity(100),,6,"physical, role"
14155,I,528 I kalebrose.,,changing sex(100); gender reassignment(100); hermaphrodite(100); intersex(100); cross dressing(100); mannish(100); boy-girl(100); two-spirit(100); ambiguous gender(100); switching roles(100); wearing the other's clothes(100); gender identity(100),,7,"physical, role"
14252,i,53^ i I,,changing sex(100); gender reassignment(100); hermaphrodite(100); intersex(100); cross dressing(100); mannish(100); boy-girl(100); two-spirit(100); ambiguous gender(100); switching roles(100); wearing the other's clothes(100); gender identity(100),,2,"physical, role"
14253,I,i I I,,changing sex(100); gender reassignment(100); hermaphrodite(100); intersex(100); cross dressing(100); mannish(100); boy-girl(100); two-spirit(100); ambiguous gender(100); switching roles(100); wearing the other's clothes(100); gender identity(100),,7,"physical, role"
14254,I,"I I such,  particularly  while  savouring  of  their  flavours  at  their  most 
perfect  best  when  served  with  heliotrope  ayelips,  as  this  is,  where 
I  do  drench  my  jolly  soul  on  the  pu  pure  beauty  of  hers  past.",,changing sex(100); gender reassignment(100); hermaphrodite(100); intersex(100); cross dressing(100); mannish(100); boy-girl(100); two-spirit(100); ambiguous gender(100); switching roles(100); wearing the other's clothes(100); gender identity(100),,6,"physical, role"
14570,t,"1 t the  ballwearied  and  then,  doubling  megalopolitan  poleetness, 
my  great  great  greatest  of  these  charities,  devaleurised  the  base 
fellows  for  the  curtailment  of  their  lower  man:  with  a  slog  to 
square  leg  I  sent  my  boundary  to  Botany  Bay  and  I  ran  up  a 
score  and  four  of  mes  while  the  Yanks  were  buckling  the  Em- 
pire:",,transsexual(100); gender reassignment(100); hermaphrodite(100); intersex(100); both sexes(100); two-spirit(100); switching roles(100); wearing the other's clothes(100); gender identity(100),,8,"physical, role"
14585,I,1 I I,,changing sex(100); gender reassignment(100); hermaphrodite(100); intersex(100); cross dressing(100); mannish(100); boy-girl(100); two-spirit(100); ambiguous gender(100); switching roles(100); wearing the other's clothes(100); gender identity(100),,6,"physical, role"
14586,I,I I i,,changing sex(100); gender reassignment(100); hermaphrodite(100); intersex(100); cross dressing(100); mannish(100); boy-girl(100); two-spirit(100); ambiguous gender(100); switching roles(100); wearing the other's clothes(100); gender identity(100),,6,"physical, role"
14587,i,"I i storied  semidetached  but  rarely  pay  tradesmen,  went  security 
for  friend  who  absconded,  shares  same  closet  with  fourteen  simi- 
lar cottages  and  an  illfamed  lodginghouse,  more  respectable  than 
some,  teawidow  pension  but  held  to  purchase,  inherited  silk  hat 
from  father-in-law,  head  of  domestic  economy  never  mentioned, 
queery  how  they  live,  reputed  to  procure,  last  four  occupants 
carried  out,  mental  companionship  with  mates  only,  respecta- 
bility unsuccessfully  aimed  at,  copious  holes  emitting  mice,  de- 
coration from  Uganda  chief  in  locked  ivory  casket,  grandmother 
has  advanced  alcoholic  amblyopia,  the  terror  of  Goodmen's 
Field,  and  respected  and  respectable,  as  respectable  as  respec- 
table can  respectably  be,  though  their  orable  amission  were  the 
herrors  I  could  have  expected,  all,  let  them  all  come,  they  are  my 
villeins,  with  chartularies  I  have  talledged  them.",,changing sex(100); gender reassignment(100); hermaphrodite(100); intersex(100); cross dressing(100); mannish(100); boy-girl(100); two-spirit(100); ambiguous gender(100); switching roles(100); wearing the other's clothes(100); gender identity(100),,0,"physical, role"
14692,f,li f I,,change of sex(100),,1,physical
